,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
2203,27000184,Sector Search,100,2.0,0.77,2,SLECHT,OOST,10,15,3899,-1,868,"(26, 11)","(58, 13)",False,Niet gevonden
2204,28000184,Sector Search,100,2.0,0.77,2,SLECHT,ZUID,10,15,2750,-2,613,"(16, 11)","(41, 9)",False,Niet gevonden
2205,29000184,Random Search,100,2.0,0.41,2,SLECHT,OOST,10,15,5166,0,1149,"(44, 9)","(60, 11)",False,Niet gevonden
2206,30000184,Random Search,100,2.0,0.77,2,SLECHT,OOST,10,15,4294,-2,956,"(32, 7)","(64, 9)",False,Niet gevonden
2207,31000184,Random Search,100,2.0,0.77,2,SLECHT,ZUID,10,15,4310,0,959,"(23, 6)","(40, 3)",False,Niet gevonden
2208,20000185,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2898,0,645,"(15, 5)","(27, 7)",False,Niet gevonden
2209,21000185,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,5204,-1,1158,"(36, 6)","(68, 9)",False,Niet gevonden
2210,22000185,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3420,0,761,"(38, 11)","(69, 9)",False,Niet gevonden
2211,23000185,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,3210,-2,715,"(30, 8)","(43, 10)",False,Niet gevonden
2212,24000185,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3766,0,838,"(19, 8)","(49, 10)",False,Niet gevonden
2213,25000185,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4517,0,1005,"(38, 12)","(76, 10)",False,Niet gevonden
2214,26000185,Sector Search,100,2.0,0.41,2,SLECHT,OOST,10,15,4298,-2,957,"(37, 11)","(54, 13)",False,Niet gevonden
2215,27000185,Sector Search,100,2.0,0.77,2,SLECHT,OOST,10,15,4277,-1,952,"(37, 9)","(69, 12)",False,Niet gevonden
2216,28000185,Sector Search,100,2.0,0.77,2,SLECHT,ZUID,10,15,3009,-1,670,"(33, 9)","(60, 7)",False,Niet gevonden
2217,29000185,Random Search,100,2.0,0.41,2,SLECHT,OOST,10,15,4176,0,929,"(29, 11)","(45, 13)",False,Niet gevonden
2218,30000185,Random Search,100,2.0,0.77,2,SLECHT,OOST,10,15,2876,-2,641,"(42, 11)","(65, 12)",False,Niet gevonden
2219,31000185,Random Search,100,2.0,0.77,2,SLECHT,ZUID,10,15,3713,-2,827,"(32, 6)","(60, 4)",False,Niet gevonden
2220,20000186,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,5002,-1,1113,"(25, 9)","(41, 11)",False,Niet gevonden
2221,21000186,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,3479,-2,775,"(30, 6)","(58, 8)",False,Niet gevonden
