,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
4707,4000295,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,8,5,3325,1460,378,"(36, 7)","(41, 7)",True,78.00
4708,5000295,Parallel Sweep,100,2.0,0.77,2,GOED,ZUID,8,15,2674,560,1057,"(39, 9)","(75, 6)",True,157.00
4709,6000295,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3861,1358,1216,"(28, 6)","(62, 10)",True,316.00
4710,7000295,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4244,485,1253,"(15, 7)","(47, 10)",True,353.00
4711,8000295,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4790,178,1005,"(33, 6)","(55, 3)",True,105.00
4712,9000295,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4155,3132,1023,"(40, 5)","(58, 9)",True,123.00
4713,10000295,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,8,15,3549,1169,1197,"(15, 12)","(38, 11)",True,297.00
4714,11000295,Parallel Sweep,100,2.0,0.41,2,GOED,ZUID,10,15,3021,141,960,"(31, 5)","(34, 2)",True,60.00
4715,12000295,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2408,-2,537,"(38, 13)","(47, 14)",False,Niet gevonden
4716,13000295,Parallel Sweep,100,2.0,0.77,1,GOED,ZUID,10,5,3222,2482,370,"(23, 7)","(36, 6)",True,70.00
4717,14000295,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,5,4143,1688,537,"(40, 8)","(51, 10)",True,237.00
4718,15000295,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,8,5,3758,2638,560,"(29, 12)","(39, 13)",True,260.00
4719,16000295,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,8,5,5142,2660,384,"(31, 9)","(43, 8)",True,84.00
4720,1000296,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,10,5,3109,2017,546,"(33, 8)","(39, 10)",True,246.00
4721,2000296,Parallel Sweep,100,2.0,0.41,1,SLECHT,ZUID,10,5,3189,1438,344,"(27, 5)","(28, 4)",True,44.00
