,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
179,20000018,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4580,0,1019,"(33, 7)","(70, 5)",False,Niet gevonden
180,14000019,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,2545,449,1247,"(15, 6)","(49, 10)",True,347.00
181,15000019,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4966,1336,1210,"(35, 8)","(67, 11)",True,310.00
182,16000019,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4417,3244,1173,"(30, 8)","(48, 12)",True,273.00
183,17000019,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,3523,-1,1176,"(20, 8)","(53, 9)",False,Niet gevonden
184,18000019,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,3344,0,1116,"(20, 7)","(54, 12)",False,Niet gevonden
185,19000019,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,2411,0,537,"(16, 7)","(26, 8)",False,Niet gevonden
186,20000019,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,3948,-2,879,"(15, 14)","(46, 17)",False,Niet gevonden
187,20000019,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,3948,-2,879,"(15, 14)","(46, 17)",False,Niet gevonden
188,20000019,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3948,-2,879,"(15, 14)","(51, 12)",False,Niet gevonden
189,20000019,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,3948,-2,879,"(15, 14)","(51, 12)",False,Niet gevonden
190,14000020,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4920,2063,1217,"(28, 11)","(62, 15)",True,317.00
191,15000020,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4108,1015,1031,"(30, 6)","(62, 8)",True,131.00
192,16000020,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,4991,3816,1175,"(29, 8)","(47, 12)",True,275.00
193,17000020,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,4434,554,1201,"(36, 12)","(68, 14)",True,301.00
194,18000020,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,3976,262,1194,"(38, 8)","(72, 13)",True,294.00
195,19000020,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,5127,-2,1141,"(18, 7)","(34, 10)",False,Niet gevonden
196,20000020,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,5138,224,1067,"(42, 6)","(75, 9)",True,167.00
197,20000020,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,5138,224,1067,"(42, 6)","(75, 9)",True,167.00
198,20000020,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,5138,353,1024,"(42, 6)","(63, 3)",True,124.00
199,20000020,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,5138,353,1024,"(42, 6)","(63, 3)",True,124.00
200,14000021,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,5018,2120,1225,"(26, 13)","(60, 17)",True,325.00
201,15000021,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3329,-1,1111,"(21, 10)","(54, 13)",False,Niet gevonden
202,16000021,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,2526,1357,1169,"(34, 12)","(52, 16)",True,269.00
203,17000021,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,2620,-1,875,"(38, 13)","(70, 14)",False,Niet gevonden
204,18000021,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,5133,978,1222,"(26, 9)","(60, 15)",True,322.00
205,19000021,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3500,0,779,"(19, 6)","(33, 9)",False,Niet gevonden
206,20000021,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2672,0,595,"(23, 8)","(44, 9)",False,Niet gevonden
207,20000021,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2672,0,595,"(23, 8)","(44, 9)",False,Niet gevonden
208,20000021,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2672,0,595,"(23, 8)","(47, 6)",False,Niet gevonden
209,20000021,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2672,0,595,"(23, 8)","(47, 6)",False,Niet gevonden
210,14000022,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3402,1068,1200,"(34, 8)","(68, 12)",True,300.00
211,15000022,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3387,0,1130,"(30, 7)","(62, 10)",False,Niet gevonden
212,16000022,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,5081,3910,1171,"(32, 8)","(50, 12)",True,271.00
213,17000022,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,5059,972,1200,"(36, 10)","(68, 12)",True,300.00
214,18000022,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,3787,-1,1264,"(30, 14)","(64, 20)",False,Niet gevonden
215,19000022,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3565,-2,794,"(39, 11)","(54, 13)",False,Niet gevonden
216,20000022,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2446,-1,545,"(41, 9)","(60, 10)",False,Niet gevonden
217,20000022,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2446,-1,545,"(41, 9)","(60, 10)",False,Niet gevonden
218,20000022,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2446,-1,545,"(41, 9)","(63, 8)",False,Niet gevonden
219,20000022,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2446,-1,545,"(41, 9)","(63, 8)",False,Niet gevonden
220,14000023,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4590,1869,1191,"(40, 13)","(74, 17)",True,291.00
221,15000023,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3515,-1,1173,"(19, 14)","(51, 17)",False,Niet gevonden
222,16000023,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3007,1844,1163,"(36, 10)","(54, 14)",True,263.00
223,17000023,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,3737,417,1037,"(40, 5)","(67, 6)",True,137.00
224,18000023,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,3245,0,1083,"(22, 12)","(56, 17)",False,Niet gevonden
225,19000023,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,3446,0,767,"(15, 8)","(29, 9)",False,Niet gevonden
226,20000023,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2654,0,591,"(17, 6)","(38, 7)",False,Niet gevonden
227,20000023,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2654,0,591,"(17, 6)","(38, 7)",False,Niet gevonden
228,20000023,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2654,0,591,"(17, 6)","(32, 4)",False,Niet gevonden
229,20000023,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2654,0,591,"(17, 6)","(32, 4)",False,Niet gevonden
230,14000024,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3332,979,1242,"(16, 7)","(50, 12)",True,342.00
231,15000024,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3552,0,1185,"(29, 11)","(61, 14)",False,Niet gevonden
232,16000024,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3563,2392,1171,"(33, 13)","(51, 17)",True,271.00
233,17000024,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,2566,-1,857,"(19, 8)","(50, 9)",False,Niet gevonden
234,18000024,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,3526,-1,1177,"(16, 6)","(50, 11)",False,Niet gevonden
235,19000024,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4463,2,991,"(31, 5)","(47, 7)",True,91.00
236,20000024,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,4174,-1,929,"(35, 8)","(67, 10)",False,Niet gevonden
237,20000024,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,4174,-1,929,"(35, 8)","(67, 10)",False,Niet gevonden
238,20000024,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4174,-1,929,"(35, 8)","(71, 5)",False,Niet gevonden
239,20000024,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,4174,-1,929,"(35, 8)","(71, 5)",False,Niet gevonden
240,14000025,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3995,1468,1195,"(36, 9)","(70, 13)",True,295.00
241,15000025,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,3332,-1,1112,"(40, 12)","(72, 15)",False,Niet gevonden
242,16000025,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,3164,1954,1210,"(16, 11)","(34, 16)",True,310.00
243,17000025,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,2663,0,889,"(37, 10)","(69, 11)",False,Niet gevonden
244,18000025,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,2854,-1,953,"(18, 6)","(52, 10)",False,Niet gevonden
245,19000025,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,5052,-1,1124,"(20, 14)","(36, 17)",False,Niet gevonden
246,20000025,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2547,0,567,"(32, 6)","(52, 8)",False,Niet gevonden
247,20000025,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2547,0,567,"(32, 6)","(52, 8)",False,Niet gevonden
248,20000025,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2547,0,567,"(32, 6)","(55, 5)",False,Niet gevonden
249,20000025,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2547,0,567,"(32, 6)","(55, 5)",False,Niet gevonden
250,14000026,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,3906,1375,1229,"(25, 5)","(59, 9)",True,329.00
251,15000026,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,2591,-1,865,"(16, 8)","(47, 10)",False,Niet gevonden
252,16000026,Parallel Sweep,100,2.0,0.41,1,GOED,OOST,8,15,5204,4047,1157,"(40, 12)","(58, 16)",True,257.00
253,17000026,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,8,15,3726,114,1185,"(42, 10)","(75, 11)",True,285.00
254,18000026,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,10,15,2853,0,952,"(23, 7)","(57, 11)",False,Niet gevonden
255,19000026,Parallel Sweep,100,2.0,0.41,2,SLECHT,OOST,10,15,4373,0,973,"(35, 12)","(50, 14)",False,Niet gevonden
256,20000026,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2626,-1,585,"(29, 10)","(49, 11)",False,Niet gevonden
257,20000026,Parallel Sweep,100,2.0,0.77,2,SLECHT,OOST,10,15,2626,-1,585,"(29, 10)","(49, 11)",False,Niet gevonden
258,20000026,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2626,-1,585,"(29, 10)","(52, 8)",False,Niet gevonden
259,20000026,Parallel Sweep,100,2.0,0.77,2,SLECHT,ZUID,10,15,2626,-1,585,"(29, 10)","(52, 8)",False,Niet gevonden
260,14000027,Parallel Sweep,100,2.0,0.77,1,SLECHT,OOST,8,15,4197,1603,1195,"(38, 12)","(72, 16)",True,295.00
261,15000027,Parallel Sweep,100,2.0,0.77,2,GOED,OOST,10,15,4118,389,1243,"(19, 10)","(51, 13)",True,343.00
