Kolom1	Seed	Label	Search pattern	Search radius	Max_current	Upper current	Profile	Zwemvaardgheid	Windrichting	Windsnelheid	Uitruktijd	Stamina begin	Overgebleven conditie	Vind tijd	Locatie begin	Locatie eind	Gevonden	Actieduur			scenario	sec	min	scec		aandeel	
573	20053	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3440	2628	541	(33, 13)	(39, 15)	True	241									
584	20054	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3600	2743	571	(21, 14)	(27, 16)	True	271									
595	20055	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4358	3768	393	(41, 5)	(47, 6)	True	93									
606	20056	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4018	3235	522	(41, 13)	(47, 15)	True	222									
617	20057	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3571	3065	337	(17, 6)	(23, 7)	True	37									
628	20058	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4256	3453	535	(34, 10)	(40, 12)	True	235									
639	20059	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3754	2899	570	(20, 9)	(26, 11)	True	270									
650	20060	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4862	4053	539	(33, 12)	(39, 14)	True	239									
661	20061	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5096	4250	564	(22, 9)	(28, 11)	True	264									
672	20062	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2403	1825	385	(37, 7)	(43, 8)	True	85									
683	20063	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4397	3570	551	(28, 9)	(34, 11)	True	251									
694	20064	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4560	3759	534	(36, 8)	(42, 10)	True	234									
705	20065	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4502	3636	577	(19, 14)	(25, 16)	True	277									
716	20066	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4897	4343	369	(31, 6)	(37, 7)	True	69									
727	20067	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3830	3051	519	(42, 11)	(47, 13)	True	219									
738	20068	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3847	3272	383	(36, 7)	(42, 8)	True	83									
749	20069	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5300	4455	563	(24, 13)	(30, 15)	True	263									
760	20070	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2812	2239	382	(37, 6)	(42, 7)	True	82									
771	20071	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4730	3948	521	(40, 10)	(46, 12)	True	221									
782	20072	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4678	3901	518	(42, 9)	(48, 11)	True	218									
793	20073	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3566	2777	526	(39, 13)	(45, 15)	True	226									
804	20074	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4728	4143	390	(39, 7)	(44, 8)	True	90									
815	20075	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3484	2653	554	(26, 11)	(32, 13)	True	254									
826	20076	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2786	1971	543	(32, 13)	(38, 15)	True	243									
837	20077	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4177	3397	520	(42, 8)	(48, 10)	True	220									
848	20078	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2986	2168	545	(31, 9)	(37, 11)	True	245									
859	20079	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4538	3663	583	(16, 8)	(21, 10)	True	283									
870	20080	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4695	3889	537	(37, 14)	(42, 16)	True	237									
881	20081	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3597	2731	577	(17, 10)	(22, 12)	True	277									
892	20082	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3025	2204	547	(31, 13)	(36, 15)	True	247									
903	20083	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4523	4004	346	(20, 7)	(26, 8)	True	46									
914	20084	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3300	2737	375	(31, 7)	(37, 8)	True	75									
925	20085	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4806	3985	547	(29, 11)	(35, 13)	True	247									
936	20086	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4505	3977	352	(24, 5)	(30, 6)	True	52									
947	20087	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3425	2558	578	(16, 9)	(22, 11)	True	278									
958	20088	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5006	4473	355	(25, 5)	(31, 6)	True	55									
969	20089	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3666	3142	349	(23, 5)	(28, 6)	True	49									
980	20090	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4645	3778	578	(18, 14)	(24, 16)	True	278									
991	20091	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5346	4557	526	(39, 13)	(45, 15)	True	226									
1002	20092	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2464	1645	546	(31, 11)	(37, 13)	True	246									
1013	20093	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3205	2654	367	(29, 7)	(35, 8)	True	67									
1024	20094	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5030	4242	525	(40, 14)	(46, 16)	True	225									
1035	20095	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2701	1888	542	(31, 11)	(37, 13)	True	242									
1046	20096	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3848	3014	556	(25, 10)	(31, 12)	True	256									
1057	20097	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3940	3440	333	(16, 5)	(22, 6)	True	33									
1068	20098	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2651	1872	519	(42, 10)	(47, 12)	True	219									
1079	20099	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3095	2591	336	(17, 5)	(23, 6)	True	36									
1090	20100	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4091	3221	580	(15, 10)	(21, 12)	True	280									
1101	20101	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4479	3667	541	(32, 9)	(38, 11)	True	241									
1112	20102	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4475	3903	381	(29, 7)	(35, 8)	True	81									
1123	20103	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2494	1634	573	(20, 14)	(26, 16)	True	273									
1134	20104	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5275	4457	545	(31, 9)	(37, 11)	True	245									
1145	20105	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4755	4161	396	(39, 6)	(45, 7)	True	96									
1156	20106	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4576	3800	517	(43, 9)	(49, 11)	True	217									
1167	20107	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2673	1894	519	(41, 10)	(47, 12)	True	219									
1178	20108	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2872	2054	545	(30, 11)	(36, 13)	True	245									
1189	20109	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3344	2535	539	(34, 8)	(40, 10)	True	239									
1200	20110	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5129	4301	552	(27, 10)	(33, 12)	True	252									
1211	20111	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3482	2612	580	(16, 10)	(21, 12)	True	280									
1222	20112	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3136	2360	517	(42, 9)	(48, 11)	True	217									
1233	20113	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5155	4592	375	(34, 5)	(40, 6)	True	75									
1244	20114	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4130	3527	402	(43, 7)	(49, 8)	True	102									
1255	20115	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4154	3386	512	(44, 11)	(50, 13)	True	212									
1266	20116	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3531	2655	584	(15, 14)	(21, 16)	True	284									
1277	20117	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3582	3075	338	(17, 7)	(23, 8)	True	38									
1288	20118	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3928	3074	569	(21, 8)	(27, 10)	True	269									
1299	20119	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2416	1907	339	(17, 7)	(23, 8)	True	39									
1310	20120	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4833	3970	575	(17, 10)	(23, 12)	True	275									
1321	20121	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4713	4114	399	(44, 5)	(50, 6)	True	99									
1332	20122	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2820	2010	540	(32, 11)	(38, 13)	True	240									
1343	20123	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4236	3384	568	(23, 8)	(28, 10)	True	268									
1354	20124	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3860	3039	547	(30, 11)	(35, 13)	True	247									
1365	20125	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2627	2042	390	(38, 6)	(44, 7)	True	90									
1376	20126	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2974	2173	534	(35, 12)	(41, 14)	True	234									
1387	20127	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3698	3188	340	(17, 7)	(23, 8)	True	40									
1398	20128	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3507	3000	338	(18, 5)	(24, 6)	True	38									
1409	20129	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3427	2573	569	(22, 8)	(27, 10)	True	269									
1420	20130	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3719	2844	583	(23, 11)	(28, 13)	True	283									
1431	20131	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2853	1992	574	(18, 12)	(24, 14)	True	274									
1442	20132	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3613	3022	394	(41, 6)	(47, 7)	True	94									
1453	20133	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3330	2487	562	(23, 12)	(29, 14)	True	262									
1464	20134	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4780	3991	526	(39, 11)	(44, 13)	True	226									
1475	20135	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4159	3640	346	(21, 7)	(26, 8)	True	46									
1486	20136	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4233	3388	563	(24, 13)	(30, 15)	True	263									
1497	20137	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5200	4699	334	(15, 6)	(21, 7)	True	34									
1508	20138	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3616	3070	364	(29, 7)	(34, 8)	True	64									
1519	20139	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4701	4189	341	(19, 7)	(24, 8)	True	41									
1530	20140	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3787	2995	528	(38, 8)	(44, 10)	True	228									
1541	20141	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2480	1961	346	(21, 6)	(27, 7)	True	46									
1552	20142	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4976	4119	571	(20, 12)	(26, 14)	True	271									
1563	20143	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3193	2341	568	(21, 9)	(27, 11)	True	268									
1574	20144	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4879	4321	372	(32, 5)	(38, 6)	True	72									
1585	20145	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4625	4077	365	(29, 6)	(35, 7)	True	65									
1596	20146	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4140	3558	388	(40, 6)	(45, 7)	True	88									
1607	20147	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3237	2406	554	(26, 10)	(32, 12)	True	254									
1618	20148	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5399	4533	577	(16, 11)	(22, 13)	True	277									
1629	20149	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5304	4491	542	(31, 10)	(37, 12)	True	242									
1640	20150	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3505	2908	398	(43, 5)	(49, 6)	True	98									
1651	20151	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4825	4025	533	(35, 10)	(41, 12)	True	233									
1662	20152	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4769	3990	519	(42, 13)	(48, 15)	True	219									
1673	20153	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5379	4542	558	(25, 9)	(31, 11)	True	258									
1684	20154	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2644	1816	552	(27, 9)	(33, 11)	True	252									
1695	20155	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3299	2708	394	(42, 5)	(48, 6)	True	94									
1706	20156	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4969	4379	393	(39, 5)	(45, 6)	True	93									
1717	20157	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4337	3561	517	(43, 12)	(49, 14)	True	217									
1728	20158	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2616	1810	537	(35, 13)	(41, 15)	True	237									
1739	20159	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3658	3058	400	(40, 7)	(46, 8)	True	100									
1750	20160	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4559	3719	560	(24, 12)	(30, 14)	True	260									
1761	20161	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4513	3989	349	(21, 7)	(26, 8)	True	49									
1772	20162	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4330	3527	535	(34, 10)	(40, 12)	True	235									
1783	20163	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3344	2535	539	(34, 10)	(40, 12)	True	239									
1794	20164	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3393	2613	520	(43, 14)	(49, 16)	True	220									
1805	20165	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2854	2026	552	(28, 10)	(33, 12)	True	252									
1816	20166	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3642	2865	518	(43, 11)	(48, 13)	True	218									
1827	20167	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3892	3299	395	(42, 6)	(48, 7)	True	95									
1838	20168	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2683	1906	518	(43, 13)	(49, 15)	True	218									
1849	20169	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3794	3015	519	(42, 13)	(48, 15)	True	219									
1860	20170	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4466	3966	333	(16, 5)	(22, 6)	True	33									
1871	20171	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3885	3087	532	(36, 9)	(42, 11)	True	232									
1882	20172	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4806	3936	580	(15, 9)	(21, 11)	True	280									
1893	20173	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2784	2007	518	(44, 13)	(49, 15)	True	218									
1904	20174	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4637	3771	577	(18, 13)	(24, 15)	True	277									
1915	20175	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3525	2674	567	(23, 12)	(28, 14)	True	267									
1926	20176	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3732	3141	394	(43, 6)	(48, 7)	True	94									
1937	20177	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4115	3332	522	(41, 13)	(47, 15)	True	222									
1948	20178	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4597	4010	391	(40, 6)	(45, 7)	True	91									
1959	20179	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4389	3574	543	(32, 8)	(38, 10)	True	243									
1970	20180	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3380	2546	556	(27, 13)	(33, 15)	True	256									
1981	20181	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3695	2850	563	(22, 10)	(28, 12)	True	263									
1992	20182	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4092	3498	396	(41, 7)	(47, 8)	True	96									
2003	20183	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4091	3305	524	(40, 13)	(46, 15)	True	224									
2014	20184	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3994	3187	538	(34, 13)	(40, 15)	True	238									
2025	20185	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3916	3119	531	(36, 11)	(42, 13)	True	231									
2036	20186	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3179	2601	385	(37, 7)	(43, 8)	True	85									
2047	20187	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4378	3523	570	(19, 11)	(25, 13)	True	270									
2058	20188	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5261	4407	569	(21, 11)	(27, 13)	True	269									
2069	20189	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3106	2320	524	(40, 12)	(46, 14)	True	224									
2080	20190	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5091	4273	545	(30, 9)	(36, 11)	True	245									
2091	20191	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4859	4002	571	(23, 9)	(28, 11)	True	271									
2102	20192	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2948	2082	577	(19, 14)	(25, 16)	True	277									
2113	20193	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3745	3166	386	(37, 5)	(43, 7)	True	86									
2124	20194	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3210	2416	529	(37, 12)	(43, 14)	True	229									
2135	20195	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5354	4815	359	(27, 5)	(33, 6)	True	59									
2146	20196	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4142	3291	567	(21, 9)	(27, 11)	True	267									
2157	20197	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4098	3493	403	(44, 7)	(50, 8)	True	103									
2168	20198	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3927	3075	568	(20, 10)	(26, 13)	True	268									
2179	20199	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2828	2033	530	(40, 14)	(45, 16)	True	230									
2190	20200	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3129	2572	371	(32, 5)	(38, 6)	True	71									
2201	20201	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4276	3776	333	(16, 7)	(21, 8)	True	33									
2212	20202	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3749	2955	529	(38, 9)	(44, 11)	True	229									
2223	20203	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4266	3420	564	(24, 10)	(30, 12)	True	264									
2234	20204	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4941	4102	559	(24, 11)	(30, 13)	True	259									
2245	20205	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3732	2964	512	(44, 10)	(50, 12)	True	212									
2256	20206	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3643	2863	520	(44, 14)	(50, 16)	True	220									
2267	20207	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3704	2843	574	(18, 12)	(24, 14)	True	274									
2278	20208	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4491	3622	579	(17, 13)	(23, 15)	True	279									
2289	20209	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4040	3249	527	(39, 11)	(45, 13)	True	227									
2300	20210	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3515	2994	347	(21, 5)	(27, 6)	True	47									
2311	20211	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3830	3000	553	(29, 14)	(35, 16)	True	253									
2322	20212	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3064	2560	336	(17, 6)	(23, 7)	True	36									
2333	20213	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4347	3513	556	(25, 10)	(31, 12)	True	256									
2344	20214	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3834	3051	522	(40, 12)	(46, 14)	True	222									
2355	20215	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4648	3769	586	(15, 8)	(20, 10)	True	286									
2366	20216	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3434	2654	520	(43, 10)	(48, 12)	True	220									
2377	20217	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4956	4143	542	(31, 10)	(37, 12)	True	242									
2388	20218	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4553	3962	394	(42, 5)	(48, 6)	True	94									
2399	20219	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2955	2463	328	(15, 5)	(20, 6)	True	28									
2410	20220	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5349	4581	512	(44, 11)	(50, 13)	True	212									
2421	20221	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3566	2751	543	(34, 14)	(39, 16)	True	243									
2432	20222	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3324	2827	331	(16, 5)	(22, 6)	True	31									
2443	20223	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4055	3515	360	(26, 6)	(32, 7)	True	60									
2454	20224	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4060	3539	347	(22, 5)	(28, 6)	True	47									
2465	20225	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4384	3571	542	(32, 11)	(37, 13)	True	242									
2476	20226	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4769	3914	570	(20, 9)	(26, 11)	True	270									
2487	20227	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5072	4295	518	(43, 12)	(49, 14)	True	218									
2498	20228	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4767	4177	393	(40, 5)	(46, 7)	True	93									
2509	20229	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2899	2042	571	(19, 12)	(25, 14)	True	271									
2520	20230	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2792	1971	547	(29, 10)	(35, 12)	True	247									
2531	20231	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3957	3174	522	(41, 12)	(47, 14)	True	222									
2542	20232	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4083	3528	370	(32, 6)	(37, 7)	True	70									
2553	20233	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4603	3778	550	(28, 9)	(34, 11)	True	250									
2564	20234	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4697	3909	525	(41, 8)	(46, 10)	True	225									
2575	20235	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2951	2358	395	(42, 5)	(48, 6)	True	95									
2586	20236	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4126	3272	569	(21, 8)	(27, 10)	True	269									
2597	20237	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4990	4171	546	(30, 9)	(36, 11)	True	246									
2608	20238	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3739	2915	549	(29, 12)	(35, 14)	True	249									
2619	20239	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	5084	4538	364	(28, 6)	(34, 7)	True	64									
2630	20240	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4351	3550	534	(35, 12)	(41, 14)	True	234									
2641	20241	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3582	3009	382	(36, 7)	(41, 8)	True	82									
2652	20242	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	2672	1833	559	(24, 11)	(30, 13)	True	259									
2663	20243	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4757	3965	528	(38, 10)	(43, 12)	True	228									
2674	20244	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3546	2982	376	(33, 7)	(39, 8)	True	76									
2685	20245	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3509	2721	525	(39, 12)	(45, 14)	True	225									
2696	20246	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4159	3301	572	(20, 14)	(26, 16)	True	272									
2707	20247	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3149	2342	538	(35, 14)	(41, 16)	True	238									
2718	20248	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	3470	2642	552	(27, 9)	(33, 11)	True	252									
2729	20249	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4663	3821	561	(24, 13)	(30, 15)	True	261									
2740	20250	Wind -10	Parallel Sweep	100	2	0.41	1	GOED	OOST	9	5	4674	3835	559	(25, 8)	(31, 10)	True	259									
