Kolom1	Seed	Label	Search pattern	Search radius	Max_current	Upper current	Profile	Zwemvaardgheid	Windrichting	Windsnelheid	Uitruktijd	Stamina begin	Overgebleven conditie	Vind tijd	Locatie begin	Locatie eind	Gevonden	Actieduur			scenario	sec	min	scec		aandeel	
440	10041	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3723	2683	520	(43, 11)	(48, 13)	True	220									
451	10042	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3408	2296	556	(26, 11)	(31, 13)	True	256									
462	10043	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3202	2052	575	(17, 10)	(23, 12)	True	275									
473	10044	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4345	3213	566	(21, 10)	(27, 12)	True	266									
484	10045	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5058	3924	567	(23, 14)	(29, 16)	True	267									
495	10046	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3963	2843	560	(25, 12)	(30, 14)	True	260									
506	10047	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3459	2361	549	(30, 12)	(36, 14)	True	249									
517	10048	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4372	3616	378	(35, 5)	(41, 6)	True	78									
528	10049	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	5260	4098	581	(15, 12)	(21, 14)	True	281									
539	10050	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4646	3506	570	(20, 10)	(25, 12)	True	270									
550	10051	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	3669	2557	556	(26, 12)	(32, 14)	True	256									
561	10052	Alles 0	Parallel Sweep	100	2	0.41	1	GOED	OOST	10	5	4375	3275	550	(29, 8)	(35, 10)	True	250									
