,Seed,Search pattern,Search radius,Max_current,Upper current,Profile,Zwemvaardgheid,Windrichting,Windsnelheid,Uitruktijd,Stamina begin,Overgebleven conditie,Vind tijd,Locatie begin,Locatie eind,Gevonden,Actieduur
795,19000080,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,4932,0,1097,"(37, 6)","(52, 9)",False,Niet gevonden
796,20000080,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,4028,-2,897,"(24, 9)","(56, 12)",False,Niet gevonden
797,20000080,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,4028,-2,897,"(24, 9)","(56, 12)",False,Niet gevonden
798,20000080,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4028,-2,897,"(24, 9)","(60, 7)",False,Niet gevonden
799,20000080,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4028,-2,897,"(24, 9)","(60, 7)",False,Niet gevonden
800,14000081,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,2624,478,1271,"(23, 9)","(57, 14)",True,371.00
801,15000081,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,3906,0,1303,"(44, 5)","(76, 7)",False,Niet gevonden
802,16000081,Expanding Square,100,2.0,0.41,1,GOED,OOST,8,15,2943,1712,1231,"(38, 10)","(56, 15)",True,331.00
803,17000081,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,8,15,3299,0,1101,"(41, 13)","(73, 15)",False,Niet gevonden
804,18000081,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,10,15,2801,0,935,"(39, 7)","(73, 11)",False,Niet gevonden
805,19000081,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,4791,-1,1066,"(40, 8)","(56, 11)",False,Niet gevonden
806,20000081,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,5002,-1,1113,"(34, 8)","(66, 11)",False,Niet gevonden
807,20000081,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,5002,-1,1113,"(34, 8)","(66, 11)",False,Niet gevonden
808,20000081,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,5002,-1,1113,"(34, 8)","(71, 5)",False,Niet gevonden
809,20000081,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,5002,-1,1113,"(34, 8)","(71, 5)",False,Niet gevonden
810,14000082,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,5247,2225,1273,"(23, 9)","(57, 14)",True,373.00
811,15000082,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,3542,-1,1182,"(34, 6)","(65, 10)",False,Niet gevonden
812,16000082,Expanding Square,100,2.0,0.41,1,GOED,OOST,8,15,2827,1854,973,"(15, 12)","(33, 15)",True,73.00
813,17000082,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,8,15,4081,-1,1362,"(41, 10)","(72, 12)",False,Niet gevonden
814,18000082,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,10,15,3720,0,1241,"(44, 5)","(78, 10)",False,Niet gevonden
815,19000082,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,4004,0,891,"(18, 5)","(35, 8)",False,Niet gevonden
816,20000082,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3424,0,762,"(29, 6)","(56, 8)",False,Niet gevonden
817,20000082,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3424,0,762,"(29, 6)","(56, 8)",False,Niet gevonden
818,20000082,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,3424,0,762,"(29, 6)","(49, 4)",False,Niet gevonden
819,20000082,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,3424,0,762,"(29, 6)","(49, 4)",False,Niet gevonden
820,14000083,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,4171,1503,1277,"(22, 9)","(56, 14)",True,377.00
821,15000083,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,2714,-1,906,"(16, 8)","(48, 11)",False,Niet gevonden
822,16000083,Expanding Square,100,2.0,0.41,1,GOED,OOST,8,15,2779,1792,987,"(22, 12)","(40, 16)",True,87.00
823,17000083,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,8,15,2473,-1,826,"(30, 7)","(60, 9)",False,Niet gevonden
824,18000083,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,10,15,2619,0,874,"(25, 12)","(58, 16)",False,Niet gevonden
825,19000083,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,4798,-2,1068,"(36, 5)","(52, 8)",False,Niet gevonden
826,20000083,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,4111,-1,915,"(17, 8)","(50, 10)",False,Niet gevonden
827,20000083,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,4111,-1,915,"(17, 8)","(50, 10)",False,Niet gevonden
828,20000083,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4111,-1,915,"(17, 8)","(54, 6)",False,Niet gevonden
829,20000083,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4111,-1,915,"(17, 8)","(54, 6)",False,Niet gevonden
830,14000084,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,3844,1454,1108,"(19, 14)","(53, 18)",True,208.00
831,15000084,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,4776,948,1276,"(24, 12)","(56, 14)",True,376.00
832,16000084,Expanding Square,100,2.0,0.41,1,GOED,OOST,8,15,3789,2519,1270,"(26, 5)","(44, 10)",True,370.00
833,17000084,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,8,15,4961,239,1534,"(25, 8)","(57, 11)",True,634.00
834,18000084,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,10,15,2757,0,920,"(33, 6)","(67, 10)",False,Niet gevonden
835,19000084,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,4529,40,993,"(26, 14)","(41, 16)",True,93.00
836,20000084,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3607,-1,803,"(18, 7)","(46, 9)",False,Niet gevonden
837,20000084,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3607,-1,803,"(18, 7)","(46, 9)",False,Niet gevonden
838,20000084,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,3607,-1,803,"(18, 7)","(50, 5)",False,Niet gevonden
839,20000084,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,3607,-1,803,"(18, 7)","(50, 5)",False,Niet gevonden
840,14000085,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,4212,1305,1503,"(35, 8)","(69, 14)",True,603.00
841,15000085,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,4269,0,1424,"(38, 11)","(69, 15)",False,Niet gevonden
842,16000085,Expanding Square,100,2.0,0.41,1,GOED,OOST,8,15,2994,2005,989,"(22, 13)","(40, 17)",True,89.00
843,17000085,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,8,15,3807,0,1270,"(29, 8)","(60, 10)",False,Niet gevonden
844,18000085,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,10,15,2643,0,882,"(39, 11)","(72, 15)",False,Niet gevonden
845,19000085,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,3850,-1,857,"(19, 13)","(34, 15)",False,Niet gevonden
846,20000085,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3494,-1,778,"(44, 6)","(71, 8)",False,Niet gevonden
847,20000085,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,3494,-1,778,"(44, 6)","(71, 8)",False,Niet gevonden
848,20000085,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,3494,-1,778,"(44, 6)","(65, 4)",False,Niet gevonden
849,20000085,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,3494,-1,778,"(44, 6)","(65, 4)",False,Niet gevonden
850,14000086,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,3085,786,1270,"(25, 7)","(60, 12)",True,370.00
851,15000086,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,4115,-1,1373,"(42, 10)","(74, 14)",False,Niet gevonden
852,16000086,Expanding Square,100,2.0,0.41,1,GOED,OOST,8,15,3154,1682,1472,"(43, 11)","(61, 16)",True,572.00
853,17000086,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,8,15,2460,0,821,"(42, 6)","(72, 7)",False,Niet gevonden
854,18000086,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,10,15,2665,-1,890,"(38, 8)","(72, 12)",False,Niet gevonden
855,19000086,Expanding Square,100,2.0,0.41,2,SLECHT,OOST,10,15,4416,-2,983,"(32, 6)","(48, 8)",False,Niet gevonden
856,20000086,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,4286,-1,954,"(28, 11)","(60, 13)",False,Niet gevonden
857,20000086,Expanding Square,100,2.0,0.77,2,SLECHT,OOST,10,15,4286,-1,954,"(28, 11)","(60, 13)",False,Niet gevonden
858,20000086,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4286,-1,954,"(28, 11)","(65, 8)",False,Niet gevonden
859,20000086,Expanding Square,100,2.0,0.77,2,SLECHT,ZUID,10,15,4286,-1,954,"(28, 11)","(65, 8)",False,Niet gevonden
860,14000087,Expanding Square,100,2.0,0.77,1,SLECHT,OOST,8,15,3098,569,1496,"(35, 12)","(69, 17)",True,596.00
861,15000087,Expanding Square,100,2.0,0.77,2,GOED,OOST,10,15,5126,-1,1710,"(44, 11)","(75, 15)",False,Niet gevonden
